"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_P53_PATHWAY",0.571713147410359,0.805024769992923,0.072003313661988,0.505333771748679,0.941795048908386,182,"ENSG00000104419;ENSG00000124762;ENSG00000085117;ENSG00000168209;ENSG00000186834;ENSG00000166592;ENSG00000117984;ENSG00000125845;ENSG00000115107;ENSG00000123933;ENSG00000160271;ENSG00000185339;ENSG00000099875;ENSG00000187837;ENSG00000136048;ENSG00000173846;ENSG00000105329;ENSG00000181467;ENSG00000102804;ENSG00000160310;ENSG00000197747;ENSG00000164331;ENSG00000106992;ENSG00000101255;ENSG00000080546;ENSG00000068745;ENSG00000131669;ENSG00000116704"
"HALLMARK_PEROXISOME",0.521367521367521,0.805024769992923,0.080419996876154,0.579646282738996,0.972361285005101,85,"ENSG00000291237;ENSG00000124788;ENSG00000149485;ENSG00000162496;ENSG00000150967;ENSG00000157593;ENSG00000101846"
"HALLMARK_XENOBIOTIC_METABOLISM",0.537373737373737,0.805024769992923,0.0758886900606117,-0.532473787551214,-0.962381042998946,144,"ENSG00000158825;ENSG00000086696;ENSG00000167600;ENSG00000109084;ENSG00000143149;ENSG00000163110;ENSG00000166347;ENSG00000081181;ENSG00000114850;ENSG00000106853"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.636363636363636,0.83732057416268,0.0696133438850965,0.529856469723361,0.897712403414098,91,"ENSG00000124762;ENSG00000117461;ENSG00000137275;ENSG00000067182;ENSG00000152256;ENSG00000103197;ENSG00000099875;ENSG00000114302;ENSG00000161203;ENSG00000111276;ENSG00000161011;ENSG00000179218;ENSG00000101255"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.628099173553719,0.83732057416268,0.069119845655101,0.569037238509951,0.895124450959518,37,"ENSG00000177283;ENSG00000101384;ENSG00000204301;ENSG00000168036;ENSG00000162736;ENSG00000108840;ENSG00000164683;ENSG00000163517"
"HALLMARK_NOTCH_SIGNALING",0.671370967741935,0.84452479338843,0.0646484568421928,0.544921025131305,0.847770913254953,29,"ENSG00000106003;ENSG00000101384;ENSG00000137486;ENSG00000148737"
"HALLMARK_PROTEIN_SECRETION",0.675619834710744,0.84452479338843,0.0655321029282414,0.511713205657349,0.873853265591764,93,"ENSG00000165029;ENSG00000161203;ENSG00000003056;ENSG00000163399"
"HALLMARK_SPERMATOGENESIS",0.780669144981413,0.907754819745829,0.0536769600638126,-0.470874322803586,-0.788739484733848,70,"ENSG00000123496;ENSG00000163923;ENSG00000163918;ENSG00000152942;ENSG00000157456;ENSG00000100526"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.765957446808511,0.907754819745829,0.0564118388217596,-0.468598168338574,-0.826891481420986,110,"ENSG00000166197;ENSG00000178105;ENSG00000130520;ENSG00000175334;ENSG00000103257;ENSG00000140612;ENSG00000173207;ENSG00000171311"
"HALLMARK_UV_RESPONSE_DN",0.74852652259332,0.907754819745829,0.0582216241124161,0.465936975662254,0.83937485533657,133,"ENSG00000049323;ENSG00000101665;ENSG00000163513;ENSG00000134107;ENSG00000108821;ENSG00000099250;ENSG00000124788;ENSG00000147852;ENSG00000117461"
"HALLMARK_APICAL_SURFACE",0.82565130260521,0.917390336228012,0.054568064667094,0.465154171629838,0.72527371699214,32,"ENSG00000124466"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.809174311926605,0.917390336228012,0.0514264916187015,-0.457416249100101,-0.766616816724656,68,"ENSG00000120437;ENSG00000147676;ENSG00000109084;ENSG00000147155;ENSG00000132170;ENSG00000100600;ENSG00000198911;ENSG00000127955"
"HALLMARK_KRAS_SIGNALING_DN",0.845991561181435,0.919556044762429,0.055826471778749,0.449527547656628,0.753894793919447,80,"ENSG00000106003;ENSG00000124466;ENSG00000198246;ENSG00000063176;ENSG00000177000"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.932,0.975239190243502,0.0488970772260102,0.408810807562477,0.749704333171687,159,"ENSG00000003137;ENSG00000106541;ENSG00000164850;ENSG00000197249;ENSG00000151208;ENSG00000141753;ENSG00000146242;ENSG00000184363"
"HALLMARK_MITOTIC_SPINDLE",0.955734406438632,0.975239190243502,0.0480220415968251,-0.40367654289324,-0.763240678791727,196,"ENSG00000163110;ENSG00000079482;ENSG00000101871;ENSG00000137962;ENSG00000173327;ENSG00000211455;ENSG00000088325;ENSG00000114346;ENSG00000151849;ENSG00000130402;ENSG00000136237;ENSG00000075391;ENSG00000180628;ENSG00000157483;ENSG00000157456"
"HALLMARK_MTORC1_SIGNALING",0.937751004016064,0.975239190243502,0.0487989701682839,-0.408827924940179,-0.77246957846062,195,"ENSG00000076248;ENSG00000213190;ENSG00000102879;ENSG00000109084;ENSG00000151012;ENSG00000103257;ENSG00000132383;ENSG00000147155;ENSG00000140612;ENSG00000100600;ENSG00000168439"
"HALLMARK_HEME_METABOLISM",0.996062992125984,0.996062992125984,0.0451344222209097,-0.379917105328144,-0.702253809191021,165,"ENSG00000013583;ENSG00000151012;ENSG00000100897;ENSG00000179262;ENSG00000122741;ENSG00000266412;ENSG00000075340;ENSG00000133069;ENSG00000112992;ENSG00000135070;ENSG00000119950;ENSG00000256269;ENSG00000140743;ENSG00000118777;ENSG00000106605;ENSG00000172270"
